"lagoslakeid","UID","mercury","atrazine","microcystin","ecoli","chla","tp","tn","secchi","DOC","conductivity","lake_huc12","neon_zoneid","lake_lon_decdeg","lake_lat_decdeg","lake_shorelinedevfactor","ws_zoneid","ws_area_ha","value.soil_clay_pct","value.soil_depthtobedrock_cm","value.soil_kffact","value.soil_orgcarbon_gperkg","nlcd_devsum_pct","ag_total","value.runoff_inperyr","P_Ag_Buffered","DMR_Metals_TWPE_lb_eq_yr","DMR_Organic_Enrichment_Disch","Number_of_CSOs","SNFA_MEAN","PIMPV","Manure_P_kg_ha","HUC12_Pop","lake_waterarea_ha"
3464,2011258,0.113,0.78,0.1,0,34.4,52.0875,1.345,1.5,11.25,323.8,40500011604,4,-85.41774815,41.33685381,1.321801541,3464,65.0302548,18.39612188,3833.443213,0.3700000048,106.9141274,13.85041551,17.31301939,11.47747919,63.31781426,0,7196.412791,0,48.31280899,0.6262039007,1.096488022,1142.914815,11.23168667
3502,2011144,0.239,0.05,0,0,3.52,16.75875,0.561,2.5,5.28,11.4,40201040207,4,-88.85380402,46.85967167,2.512668548,3502,165.581491,8.923333333,1775.497778,0.1657704945,212.8622222,3.661202186,0,20.38796746,79.96146435,0,0,0,0.07248733193,0.1607959551,0.01244065329,83.08212262,23.98046953
3505,2010467,0.0442,1.28,0,0,10.67,21.92875,1.06,1.8,7.62,458.3,51201060105,4,-85.77544437,41.33282414,3.962000442,3505,1376.841458,17.51353203,3590.179239,0.2160752627,115.8722165,17.52678338,49.40553959,11.85986431,69.89761092,0,2967.516,0,36.2036705,2.248961156,2.432390073,4582.26975,339.9464718
3559,2010948,0.0201,0.34,0,13.4,18.56,17.19875,1.424,1,9.78,401,40500011101,4,-85.32951702,41.62316902,1.621652276,3559,1846.499383,16.5223398,5631.754066,0.2634272828,85.60346855,4.915634449,64.96635131,11.40482571,80.86245231,0,119.1036,0,48.60300064,0.9101657941,3.680078529,1705.61059,41.19058887
3566,2011465,0.0942,0,0,0,14.1,20.3,0.332,2.2,5.45,14.2,70700010308,4,-89.19835051,45.96693825,1.332135193,3566,137.7037,9.352822581,1897.472446,0.177027385,153.1673387,5.5410691,7.627118644,13.38522034,98.51682142,0,0,0,3.875653505,0.7716304479,0.0096025512,1194.298885,29.61624211
3582,2011010,0.0294,1.34,0,3.1,20.8,19.9675,1.836,0.7,6.57,505.4,40500010404,4,-85.31759494,41.94485991,3.470818854,3582,24084.17754,15.95377335,2961.946784,0.2199009295,115.1437758,6.311383511,66.03744674,11.33429102,67.09649262,0,0,0,39.02429199,1.75023994,1.430421466,2375.021978,294.5937822
3644,2010633,0.0486,1.08,0,0,80.32,157.94125,1.76,0.6,5.88,385.1,50800010705,5,-84.26522022,40.17663921,2.413273449,3644,2047.017839,23.64856665,2479.738612,0.3672432323,55.80601477,6.30495955,75.96289131,12.10924544,37.1573054,16.43832299,28265.78122,0,35.39310455,7.46231488,0.739902661,22169.19509,15.31624262
3651,2011236,0.0601,0.2,0,0,8,23.41875,0.33,2.1,3.24,126.2,51202080701,5,-86.40938297,39.07352948,8.365863883,3651,102963.6757,15.80470747,753.8941509,0.3523155385,117.5652974,4.431133223,8.967767538,14.71231763,89.09952607,0,2540.692342,0,0.1355237663,0.09966732963,0.002624277535,428.9876656,4497.050162
3695,2010478,0.058,1.47,0,13.5,0.63,26.82625,2.575,2.1,5.34,289.6,41000111203,4,-83.02036054,41.23852148,1.081742716,3695,4.368876242,21.62162162,1800.648649,0.2599999905,122.6486486,0,22.44897959,10.04666909,40.63064589,0,11.3571612,1,59.06623459,1.704184177,0.539799222,3544.159957,41.35112058
3809,2011225,0.102,0,0,14.5,4.01,33.2,1.91,23.7,4.52,470,70700021102,4,-89.14080787,45.14243842,3.8165742,3809,9119.064,12.28239996,2420.699748,0.2745483887,126.5664381,5.976217496,66.53772142,11.53735642,39.26039305,0,0,0,41.31937027,2.322833013,1.866703355,4500.247425,12.04772834
3909,2010586,0.074,0.05,0.167,0,7.64,26.60875,1.071,1.4,9.98,435.4,70200050801,8,-95.04376549,45.30992673,1.315704757,3909,382.6681,16.76830517,6591.390169,0.2053267532,105.1057348,11.0719323,16.9722614,3.838093137,48.74315519,0,0,0,35.27472305,0.7051383399,13.1424113,849.0850879,304.4363869
3945,2011304,0.0314,0,0,1,1.65,10.7,0.818,6,6.29,580,40302030301,5,-88.39471042,43.73209964,1.451799918,3945,135.8157129,19.65607345,2381.982345,0.2961826586,147.7443503,13.79763469,38.56767411,7.715207487,37.68399023,0,1514.376763,0,31.44161797,8.364507494,2.694110964,13196.29195,32.3650687
3991,2011062,0.107,0.15,0.301,0,4.83,8.8725,0.616,2.9,4.9,343.8,40500011702,4,-85.70365112,41.40356078,4.048828597,3991,4539.227418,16.49927929,4420.835759,0.226157687,113.4826116,21.10040829,55.25627304,11.89687767,52.22420812,0,0,0,21.34696198,5.47903123,1.215055369,5886.391212,1386.568186
4044,2011097,0.0221,0.08,0,1,2.69,5.07625,0.6,2.6,6.05,536.7,40500010803,4,-85.06577671,41.70854947,5.893954872,4044,3690.684376,17.32133111,3412.548919,0.2385124485,140.5344401,25.47560976,28.67804878,10.90127573,83.35602723,0,93.1,0,19.46369362,4.723555326,0.1223142451,3319.354934,762.2082874
4099,2011187,0.0323,0,1.0222,0,5.29,12.13625,0.484,2.2,3.77,320,40700040208,4,-84.83411998,45.41155376,2.771625941,4099,23326.58972,11.59558512,3194.594456,0.1612282368,158.7623598,6.092743336,6.908298291,13.27225629,87.84075395,0,0,0,1.14375031,2.516497391,0.1660576711,5504.624436,1391.750468
4137,2011220,0.0648,0.72,0,3.1,7.66,36.99875,2.376,2.1,7.98,728.2,40500011006,4,-85.06496655,41.60302551,2.510005206,4137,4408.730028,19.3763902,6621.011758,0.2965171586,115.0952107,11.39648836,66.75786035,10.91326896,82.38099405,0,75.853,0,27.34704399,1.995879822,0.1763320027,1932.50954,61.62249812
4180,2011083,0.0273,0.38,0.219,2,4.37,11.125,1.621,2.7,4.35,563.1,40500011703,4,-85.83072016,41.38955959,1.903776855,4180,1236.124514,15.24994475,4978.118969,0.2543992224,95.43697974,7.274978153,77.60704923,11.98861728,63.30796708,0,0,0,47.34935379,1.143943185,4.821330589,1862.155109,80.41653561
4251,2011244,0.0744,0,1.638,0,3.94,12.5,0.409,2.75,6.97,552,70900010503,5,-88.45429482,43.09936554,3.26477991,4251,1029.498,22.11022822,2634.009055,0.3100000024,157.2475284,38.85974117,15.88842253,7.850303883,72.06651853,0,0,0,10.53743744,11.55979379,0.1617242606,11111.09112,328.8437305
4298,2010739,0.0767,0,0,5.2,5.13,53.1,0.73,23.7,7.14,77.4,40103010804,4,-91.39365028,46.55925412,1.887207972,4298,160.6505573,18.45379222,3050.207776,0.1817442522,120.1586998,11.89007291,0.4486819966,14.49483614,79.27190385,0,0,0,0.9178950191,1.263917293,0.2582585447,1118.052438,42.89609449
4308,2011492,0.203,0,0,1,4.88,16,0.374,3.6,7.51,29.6,40302020504,4,-88.75887456,44.91060508,1.341500962,4308,37.94522391,9.089156627,2102.212048,0.150000006,114.1325301,9.85915493,20.89201878,10.99093211,95.1232302,0,348.7361453,0,3.750849724,0.1006367395,0.5269462361,349.481239,10.76998482
4381,2010470,0.221,0,0,0,1.17,4.5425,0.266,6.7,3.52,23.6,41505000602,0,-71.71572422,44.95570942,1.376932632,4381,1050.134224,8.445192137,826.1159022,0.4499999881,277.0115105,1.070022257,0,27.99777945,88.77679697,0,0,0,1.182299614,0.2955128541,0.2094851241,49.35883677,190.0901506
4433,2011039,0.0339,0.11,0,3.1,1.46,9.14,0.789,4.25,3.09,326,40302021808,4,-89.19113968,44.32364331,1.118309606,4433,10.39182075,7.619469027,2603.274336,0.1609734483,118.5309735,7.079646018,0,10.05566677,95.63266832,0,0,0,15.10659885,3.396578959,0.9641561204,9065.307868,5.662665716
4440,2011044,0.046,4.4,0.147,2,65.71,254.815,2.059,0.8,9.17,269.7,71000081302,5,-93.7429893,41.03382899,1.374712286,4440,135.1156,30.61185087,4939.966045,0.3558189123,45.13648469,23.10252996,67.04394141,6.99577784,12.3621673,0,70571.7228,0,20.10387802,2.314832772,2.189295116,3834.641553,5.367587507
4467,2010260,0.0561,0.18,0.607,0,75.4,92.4,1.12,1.25,8.53,591,70900020902,5,-89.25364778,42.96459068,1.293559178,4467,11565.54,19.29631279,2170.962745,0.3110847113,120.8981193,17.27027952,62.22841312,8.157731685,74.84876108,0,0,0,26.15886879,4.272685137,2.085462067,8097.873088,1296.10517
